사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100029,2018년 1월 1일 01시,월요일,경기도 수원시 권선구 오목천동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,25세,중상
2018010100100122,2018년 1월 1일 07시,월요일,경기도 수원시 팔달구 남창동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,서리/결빙,맑음,단일로 - 기타,승합,남,44세,상해없음,보행자,여,30세,경상
2018010100100153,2018년 1월 1일 09시,월요일,경기도 수원시 권선구 서둔동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,53세,상해없음,승용,여,71세,경상
2018010100100236,2018년 1월 1일 14시,월요일,경기도 수원시 장안구 율전동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승합,남,52세,상해없음,이륜,남,20세,부상신고
2018010100100257,2018년 1월 1일 15시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,남,73세,경상
2018010200100026,2018년 1월 2일 03시,화요일,경기도 수원시 장안구 파장동,중상사고,0,2,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,승합,남,40세,중상
2018010200100048,2018년 1월 2일 06시,화요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,기타불명,보행자,여,58세,경상
2018010200100050,2018년 1월 2일 06시,화요일,경기도 수원시 권선구 호매실동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,경상,화물,남,50세,상해없음
2018010200100139,2018년 1월 2일 10시,화요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,교차로 - 교차로횡단보도내,승합,남,62세,상해없음,보행자,여,41세,경상
2018010200100140,2018년 1월 2일 10시,화요일,경기도 수원시 팔달구 화서동,중상사고,0,2,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,승용,남,52세,중상
