무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F7520,경기도,수원시,시도,,권선로,2,경기도 수원시 권선구 경수대로 374,경기도 수원시 권선구 권선동 961,37.25965805,127.0241676,권선사거리(영통->수원역),2,50,,,,2014,경기도남부경찰청,031-888-3952,2023-08-01
F8034,경기도,수원시,시도,,광교중앙로,1,,경기도 수원시 영통구 원천동 620-14,37.27841504,127.051829,법원지하차도입구(광교→매탄동),1,50,,,,2014,경기도남부경찰청,031-888-3952,2023-08-01
F8194,경기도,수원시,시도,,광교로,2,경기도 수원시 장안구 수성로 356,경기도 수원시 영통구 이의동 1226-2,37.29296949,127.0108988,광교로삼거리 광교해모로아파트 입구(동수원IC→성복동),2,40,,,,2015,경기도남부경찰청,031-888-3952,2023-08-01
F8206,경기도,수원시,일반국도,43번,봉영로,1,경기도 수원시 영통구 봉영로1482번길 7-1,,37.24537135,127.0659806,(병점->영통역),2,50,,,,2015,경기도남부경찰청,031-888-3952,2023-08-01
F8293,경기도,수원시,시도,,수성로,2,,경기도 수원시 장안구 영화동 447-1,37.29296653,127.0108978,수성중사거리(종합운동장→장안문),2,50,,,,2015,경기도남부경찰청,031-888-3952,2023-08-01
F8294,경기도,수원시,시도,,서수원로,1,경기도 수원시 권선구 금호로 115,경기도 수원시 권선구 오목천동 709-1,37.27340225,126.9625977,(경기도 장애인복지관→고색교),2,50,,,,2015,경기도남부경찰청,031-888-3952,2023-08-01
F8297,경기도,수원시,시도,,덕영대로,2,경기도 수원시 권선구 수인로 210,경기도 수원시 장안구 율전동 529,37.27824906,126.9781397,샘터삼거리(월암IC→화서역),2,50,,,,2015,경기도남부경찰청,031-888-3952,2023-08-01
F8859,경기도,수원시,시도,,금호로,2,,경기도 수원시 권선구 구운동 597,37.27340433,126.9625977,(탑동지하차도→호매실동),1,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F8862,경기도,수원시,일반국도,42번,수인로,1,경기도 수원시 장안구 경수대로 823,경기도 수원시 권선구 구운동 467,37.29476661,127.0163538,웃거리사거리(수원역->서수원터미널),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F8863,경기도,수원시,시도,,칠보로,1,,경기도 수원시 권선구 호매실동 1367,37.26609918,126.9568964,호매실동주민센터앞 어린이보호구역(호매실초교)(호매실GS(아)->칠보산),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F8991,경기도,수원시,일반국도,1번,경수대로,1,,경기도 수원시 장안구 영화동 87,37.29476471,127.0163582,영화초교사거리(장안구청→경기도 수원시청),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F8992,경기도,수원시,시도,,덕영대로,2,,경기도 수원시 장안구 율전동 185-2,37.30123545,126.9662253,율전중삼거리(성대역→월암IC),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9025,경기도,수원시,시도,,영통로,2,,경기도 수원시 영통구 망포동 398-1,37.24060615,127.0557267,태장초교 맞은편(반월동→망포역),1,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9031,경기도,수원시,시도,,영통로,1,,경기도 수원시 영통구 망포동 395-9,37.24111124,127.0553093,태장초교사거리 어린이보호구역(망포역→반월동),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9032,경기도,수원시,시도,,봉영로,2,,경기도 수원시 영통구 영통동 1053-1,37.26565416,127.0824404,황골사거리(청명역→흥덕IC),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9033,경기도,수원시,일반국도,43번,창룡대로,2,,경기도 수원시 영통구 이의동 1294-7,37.29591481,127.0558786,광교센트럴타운 입구삼거리(경기대학교→수지구청),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9034,경기도,수원시,일반국도,43번,창룡대로,1,,경기도 수원시 영통구 이의동 산13-79,37.29617852,127.0545433,광교센트럴타운 입구삼거리(수지구청→경기대학교),2,60,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9100,경기도,수원시,시도,,권선로,2,,경기도 수원시 영통구 신동 529-15,37.24851076,127.0462761,래미안아파트 201동 앞 교차로(매탄권선역->망포역),2,50,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9199,경기도,수원시,시도,,센트럴파크로,2,,경기도 수원시 영통구 이의동 1381-6,37.29235117,127.0577646,광교센트럴타운사거리 산의초교 어린이보호구역(호수공원→홍재교),2,30,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
F9200,경기도,수원시,시도,,센트럴파크로,2,,경기도 수원시 영통구 이의동 1381-6,37.29235117,127.0577646,광교센트럴타운사거리 산의초교 어린이보호구역(홍재교→호수공원),2,30,,,,2016,경기도남부경찰청,031-888-3952,2023-08-01
