사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100062,2021년 1월 1일 11시,금요일,경기도 수원시 팔달구 매향동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,여,28세,경상
2021010100100100,2021년 1월 1일 14시,금요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,9세,경상
2021010100100215,2021년 1월 1일 20시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,남,20세,경상
2021010100100230,2021년 1월 1일 21시,금요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,53세,상해없음,승용,여,56세,경상
2021010100100234,2021년 1월 1일 21시,금요일,경기도 수원시 권선구 오목천동,사망사고,1,0,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,남,54세,사망
2021010100100235,2021년 1월 1일 21시,금요일,경기도 수원시 팔달구 매산로2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,41세,경상
2021010100100250,2021년 1월 1일 22시,금요일,경기도 수원시 장안구 파장동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,승용,여,52세,중상
2021010200100045,2021년 1월 2일 09시,토요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,59세,상해없음,승용,남,39세,경상
2021010200100058,2021년 1월 2일 10시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,이륜,남,21세,중상
2021010200100103,2021년 1월 2일 12시,토요일,경기도 수원시 장안구 연무동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,66세,부상신고,보행자,남,68세,상해없음
2021010200100110,2021년 1월 2일 12시,토요일,경기도 수원시 권선구 서둔동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,35세,상해없음,승용,남,64세,경상
2021010200100146,2021년 1월 2일 13시,토요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,33세,경상
2021010200100181,2021년 1월 2일 14시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,승용,여,64세,경상
2021010200100257,2021년 1월 2일 17시,토요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대사람 - 기타,불법유턴,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,남,75세,경상
2021010200100262,2021년 1월 2일 17시,토요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,38세,경상,승용,남,49세,상해없음
2021010200100329,2021년 1월 2일 19시,토요일,경기도 수원시 권선구 탑동,경상사고,0,0,3,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,승용,남,40세,경상
2021010200100353,2021년 1월 2일 20시,토요일,경기도 수원시 장안구 천천동,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,18세,부상신고,승용,남,68세,상해없음
2021010200100354,2021년 1월 2일 20시,토요일,경기도 수원시 장안구 송죽동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,58세,부상신고,승용,남,27세,상해없음
2021010200100359,2021년 1월 2일 20시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,47세,상해없음,보행자,남,51세,중상
2021010200100400,2021년 1월 2일 21시,토요일,경기도 수원시 팔달구 매산로3가,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,이륜,남,55세,사망
2021010200100424,2021년 1월 2일 22시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,이륜,남,26세,경상
2021010300100039,2021년 1월 3일 10시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,31세,경상
2021010300100052,2021년 1월 3일 11시,일요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,승용,남,77세,경상
2021010300100247,2021년 1월 3일 23시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,원동기,남,43세,경상,승용,여,27세,상해없음
2021010400100010,2021년 1월 4일 03시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,여,25세,경상
2021010400100017,2021년 1월 4일 06시,월요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,53세,경상
2021010400100046,2021년 1월 4일 08시,월요일,경기도 수원시 팔달구 우만동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,43세,상해없음,승용,남,62세,상해없음
2021010400100049,2021년 1월 4일 08시,월요일,경기도 수원시 권선구 서둔동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,22세,상해없음,승합,남,55세,상해없음
2021010400100112,2021년 1월 4일 11시,월요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,80세,상해없음,보행자,여,25세,경상
